EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
E1016,20,Senior,Yes,Travel_Frequently,441,6,1,Other,1,3015,3,Female,31,4,2,Clinical Trial Manager,3,Divorced,6372,Medium,6263,7,Y,Yes,10,4,4,8,2,19,5,2,12,10,8,12
E1017,53,Middle-aged,No,Travel_Frequently,1381,6,2,Technical Degree,1,8589,4,Female,35,2,1,Clinical Trial Manager,1,Divorced,19332,Medium,7056,4,Y,Yes,23,1,3,8,0,28,5,2,5,5,7,1
E1018,22,Senior,No,Non-Travel,1327,23,4,Technical Degree,1,2625,3,Female,83,1,4,Clinical Trial Assistant,4,Divorced,4447,Medium,7808,5,Y,No,17,1,2,8,1,26,2,3,28,0,5,10
E1019,54,Senior,Yes,Non-Travel,665,10,3,Medical,1,1207,4,Female,91,2,4,Senior CRA,1,Divorced,17239,High,3358,3,Y,No,12,4,2,8,2,19,3,2,29,9,9,14
E1020,30,Middle-aged,Yes,Travel_Frequently,1140,11,3,Technical Degree,1,4199,1,Male,73,1,1,Clinical Project Manager,1,Single,16400,Medium,3196,7,Y,Yes,12,1,2,8,0,18,7,1,14,5,0,2
E1021,42,Middle-aged,Yes,Non-Travel,902,19,3,Technical Degree,1,2715,4,Female,23,4,2,Clinical Research Associate I,1,Divorced,5923,Medium,12175,6,Y,Yes,24,4,3,8,3,34,6,4,25,0,1,6
E1022,50,Young,Yes,Travel_Frequently,665,21,1,Medical,1,6641,2,Female,92,3,5,Clinical Trial Assistant,3,Married,12826,High,15316,2,Y,Yes,15,2,1,8,0,33,4,2,6,4,6,9
E1023,28,Young,No,Travel_Rarely,1322,17,3,Life Sciences,1,7200,1,Male,73,2,4,Clinical Research Associate II,3,Divorced,11653,Low,11193,2,Y,No,20,2,2,8,1,0,5,2,22,10,4,3
E1024,27,Young,No,Non-Travel,1335,27,1,Medical,1,4756,3,Female,91,4,1,Clinical Trial Assistant,3,Married,3112,Medium,17201,6,Y,No,20,4,2,8,1,0,3,4,19,8,3,13
E1025,52,Young,Yes,Non-Travel,1445,14,2,Life Sciences,1,7347,2,Female,57,2,5,Clinical Trial Manager,4,Married,3985,Low,1709,8,Y,Yes,23,1,3,8,3,38,8,3,21,4,1,8
E1026,22,Middle-aged,Yes,Travel_Frequently,410,3,2,Medical,1,7311,4,Female,38,1,4,Clinical Project Manager,4,Single,8502,High,19826,5,Y,No,14,1,3,8,3,3,2,2,28,1,0,9
E1027,46,Young,No,Travel_Rarely,441,15,1,Medical,1,7057,1,Female,31,3,5,Clinical Research Associate II,4,Single,5578,Low,5727,1,Y,No,16,4,2,8,2,35,4,3,28,10,2,13
E1028,27,Young,Yes,Travel_Frequently,745,3,2,Technical Degree,1,2450,3,Male,56,2,5,Clinical Project Manager,4,Single,9963,Medium,4992,0,Y,Yes,11,3,1,8,0,2,2,3,15,14,0,9
E1029,25,Young,No,Non-Travel,174,28,3,Other,1,4293,3,Female,46,4,1,Clinical Research Associate II,3,Divorced,4056,Medium,3731,5,Y,Yes,24,2,4,8,1,13,3,2,7,1,5,14
E1030,38,Senior,No,Travel_Rarely,542,11,2,Other,1,2438,4,Female,82,1,1,Clinical Trial Assistant,4,Divorced,11189,Medium,19685,4,Y,Yes,19,1,2,8,2,26,6,2,14,8,1,6
E1031,58,Middle-aged,Yes,Travel_Frequently,1021,12,1,Medical,1,5159,2,Male,56,3,5,Clinical Project Manager,3,Married,6649,Low,19763,5,Y,No,13,2,1,8,1,6,8,2,18,9,2,13
E1032,50,Young,Yes,Non-Travel,900,4,2,Other,1,6889,2,Female,60,2,5,Clinical Research Associate I,2,Divorced,3734,Low,12214,8,Y,Yes,12,1,3,8,0,12,8,2,29,4,7,14
E1033,21,Middle-aged,No,Non-Travel,219,19,1,Technical Degree,1,3509,4,Female,54,1,3,Senior CRA,2,Divorced,14739,Medium,9350,8,Y,No,13,1,1,8,3,27,3,3,10,8,9,1
E1034,52,Senior,Yes,Travel_Rarely,380,24,1,Other,1,2280,3,Male,94,2,3,Clinical Research Associate II,4,Married,15018,Medium,5250,1,Y,Yes,11,1,4,8,3,0,2,1,10,7,3,12
E1035,59,Senior,Yes,Non-Travel,726,28,1,Life Sciences,1,6197,2,Female,42,1,5,Senior CRA,2,Divorced,16530,Medium,3666,6,Y,Yes,23,2,4,8,3,34,4,1,5,10,5,9
E1036,43,Middle-aged,Yes,Non-Travel,497,1,1,Technical Degree,1,9184,2,Male,72,3,4,Clinical Trial Manager,4,Single,18922,Medium,19241,8,Y,Yes,23,1,3,8,2,15,5,3,26,6,1,4
E1037,47,Senior,No,Travel_Rarely,865,8,1,Other,1,3925,1,Male,63,3,1,Clinical Trial Manager,2,Divorced,19062,Low,14040,1,Y,Yes,10,4,3,8,2,29,4,2,17,4,9,5
E1038,44,Young,Yes,Travel_Frequently,749,17,1,Technical Degree,1,9704,3,Male,31,1,1,Clinical Research Associate I,3,Divorced,6302,High,19841,0,Y,No,21,1,3,8,2,4,8,4,25,1,9,7
E1039,39,Middle-aged,No,Travel_Frequently,655,5,4,Life Sciences,1,1407,3,Female,44,4,4,Clinical Trial Assistant,2,Divorced,7909,Low,3325,9,Y,No,19,2,4,8,1,28,9,2,11,10,0,7
E1040,39,Young,No,Travel_Frequently,511,11,2,Technical Degree,1,5384,2,Female,99,3,5,Clinical Research Associate II,1,Divorced,19595,Low,2449,3,Y,Yes,14,4,2,8,3,27,1,4,4,12,3,2
E1041,58,Young,No,Travel_Frequently,1013,3,3,Technical Degree,1,5382,4,Male,92,3,2,Clinical Research Associate II,1,Single,8121,High,10850,0,Y,No,13,2,1,8,1,29,7,1,20,2,2,11
E1042,28,Senior,Yes,Travel_Frequently,115,3,3,Technical Degree,1,4779,1,Female,95,3,2,Clinical Trial Manager,2,Married,15258,Low,8214,6,Y,Yes,18,2,2,8,3,4,3,1,8,3,5,7
E1043,45,Young,No,Non-Travel,433,20,3,Life Sciences,1,2571,3,Male,40,3,4,Senior CRA,3,Single,18380,Medium,3005,6,Y,No,18,2,3,8,2,13,9,3,23,6,3,2
E1044,25,Young,No,Travel_Rarely,358,7,2,Life Sciences,1,4559,3,Male,48,4,5,Senior CRA,3,Single,10648,Low,3112,3,Y,No,16,4,1,8,3,16,0,2,10,13,5,4
E1045,49,Young,Yes,Travel_Frequently,687,18,2,Technical Degree,1,2528,4,Female,97,4,2,Clinical Trial Manager,4,Single,14985,High,19329,6,Y,Yes,13,3,4,8,1,18,8,1,13,12,1,5
E1046,53,Young,No,Travel_Frequently,303,15,3,Other,1,6180,1,Male,26,1,5,Clinical Research Associate II,3,Single,4526,High,4978,8,Y,No,24,1,4,8,0,24,3,4,26,12,1,2
E1047,52,Middle-aged,No,Travel_Frequently,1037,10,1,Other,1,2102,1,Female,21,4,2,Senior CRA,2,Married,4231,Medium,13224,3,Y,Yes,10,4,3,8,0,32,7,2,9,0,0,10
E1048,36,Middle-aged,No,Travel_Frequently,332,28,2,Technical Degree,1,1444,2,Male,93,4,4,Clinical Project Manager,1,Divorced,8518,High,5991,0,Y,No,11,4,4,8,1,21,6,1,20,6,3,9
E1049,41,Young,Yes,Non-Travel,1048,24,1,Life Sciences,1,7874,1,Female,42,4,1,Clinical Project Manager,2,Married,6964,Medium,12574,9,Y,Yes,16,2,4,8,2,24,7,3,12,8,8,11
E1050,21,Senior,Yes,Travel_Rarely,1356,18,1,Technical Degree,1,4556,1,Male,31,2,5,Clinical Research Associate II,3,Single,15691,High,4581,7,Y,No,23,4,2,8,1,24,2,4,20,5,7,10
E1051,24,Senior,Yes,Travel_Rarely,244,15,3,Life Sciences,1,2246,2,Female,94,1,2,Clinical Trial Manager,4,Divorced,8126,High,17905,4,Y,Yes,10,3,1,8,2,21,0,4,24,14,3,0
E1052,42,Young,Yes,Non-Travel,1015,19,1,Technical Degree,1,1619,3,Female,58,1,2,Clinical Trial Assistant,4,Married,11731,Low,5651,1,Y,Yes,21,1,3,8,3,24,6,3,7,9,9,5
E1053,24,Senior,No,Travel_Frequently,1266,6,2,Other,1,7155,3,Female,74,1,4,Clinical Project Manager,4,Married,4998,High,18107,4,Y,No,10,2,2,8,1,33,3,1,14,7,2,12
E1054,41,Senior,Yes,Travel_Rarely,722,9,4,Other,1,8950,2,Female,95,2,3,Clinical Trial Assistant,2,Divorced,4360,Low,19733,5,Y,Yes,23,2,4,8,2,4,0,2,3,5,1,4
E1055,54,Senior,Yes,Non-Travel,147,19,3,Technical Degree,1,3300,4,Female,95,3,3,Clinical Trial Assistant,1,Single,10851,Medium,16168,1,Y,No,17,2,4,8,0,27,7,3,21,10,6,9
E1056,39,Senior,No,Non-Travel,512,13,1,Medical,1,7859,4,Male,46,2,3,Senior CRA,2,Divorced,17086,High,16086,4,Y,No,14,2,3,8,3,17,8,3,7,7,4,11
E1057,32,Young,No,Travel_Frequently,531,4,3,Technical Degree,1,9378,1,Male,65,2,5,Clinical Trial Manager,4,Divorced,13006,Low,9568,7,Y,No,18,1,4,8,3,22,3,2,23,8,6,2
E1058,37,Young,Yes,Travel_Rarely,1242,22,4,Technical Degree,1,6460,4,Female,37,4,2,Clinical Research Associate II,4,Single,15599,High,3129,4,Y,Yes,18,1,1,8,2,34,3,2,2,4,4,5
E1059,39,Senior,Yes,Non-Travel,365,9,4,Technical Degree,1,5267,4,Male,24,4,2,Clinical Trial Assistant,2,Married,11508,Low,18773,9,Y,No,16,2,2,8,2,38,5,3,10,3,4,12
E1060,58,Middle-aged,Yes,Non-Travel,1406,18,1,Medical,1,8903,1,Female,23,1,5,Clinical Research Associate I,4,Divorced,2046,High,9290,3,Y,Yes,22,1,2,8,0,4,9,1,29,5,7,10
E1061,37,Senior,Yes,Travel_Frequently,1025,12,4,Life Sciences,1,3284,4,Female,40,2,3,Senior CRA,2,Married,7901,Low,8549,9,Y,Yes,17,4,3,8,2,18,2,1,12,10,0,0
E1062,39,Senior,Yes,Travel_Rarely,1015,8,1,Medical,1,2104,1,Male,51,3,2,Clinical Research Associate I,2,Single,13111,Medium,18529,6,Y,No,18,3,3,8,3,39,3,3,12,14,4,0
E1063,45,Middle-aged,Yes,Travel_Frequently,1041,3,4,Life Sciences,1,4386,1,Male,62,1,1,Clinical Trial Assistant,1,Married,4221,Low,3314,3,Y,Yes,22,2,2,8,0,8,2,3,10,9,5,11
E1064,24,Middle-aged,Yes,Travel_Frequently,204,8,1,Life Sciences,1,5523,2,Male,52,1,1,Clinical Research Associate I,4,Married,19641,Medium,2414,7,Y,No,10,1,2,8,1,6,9,3,12,7,7,10
E1065,34,Senior,No,Travel_Rarely,966,21,4,Life Sciences,1,3227,2,Female,31,3,3,Clinical Research Associate I,1,Single,12259,High,1088,2,Y,Yes,12,1,2,8,2,20,9,4,0,3,2,11
E1066,34,Senior,Yes,Non-Travel,955,5,1,Life Sciences,1,6849,4,Male,96,3,4,Clinical Trial Manager,4,Married,19988,Low,12389,1,Y,Yes,21,4,4,8,1,37,6,1,16,11,7,10
E1067,32,Senior,Yes,Travel_Rarely,1354,4,1,Life Sciences,1,8849,1,Male,33,1,4,Senior CRA,1,Divorced,9638,High,7264,1,Y,No,15,2,1,8,0,34,9,2,2,13,4,10
E1068,57,Middle-aged,Yes,Travel_Frequently,1014,8,1,Technical Degree,1,5752,2,Female,94,3,4,Clinical Trial Manager,1,Divorced,12482,Low,7812,5,Y,No,21,4,4,8,1,30,2,4,6,5,8,4
E1069,46,Young,Yes,Travel_Frequently,291,18,2,Other,1,9315,3,Female,29,4,5,Clinical Trial Manager,1,Single,6776,Low,2559,1,Y,No,17,1,1,8,2,4,8,2,1,3,1,7
E1070,49,Young,Yes,Non-Travel,690,29,1,Medical,1,2270,1,Female,82,3,3,Clinical Research Associate I,1,Married,5755,Low,19632,3,Y,No,17,3,3,8,0,30,2,2,27,11,5,13
E1071,35,Young,Yes,Travel_Rarely,1113,29,2,Medical,1,7899,4,Male,22,3,2,Clinical Research Associate II,3,Divorced,18938,Medium,12574,5,Y,Yes,10,3,2,8,3,7,8,2,2,5,3,1
E1072,51,Middle-aged,Yes,Travel_Frequently,469,27,3,Life Sciences,1,7272,3,Male,91,1,3,Senior CRA,2,Single,19152,Medium,16918,2,Y,Yes,23,4,2,8,3,4,2,2,19,8,7,2
E1073,23,Young,No,Travel_Frequently,661,19,3,Life Sciences,1,1981,1,Female,66,2,2,Senior CRA,2,Divorced,13240,Low,1618,9,Y,No,24,4,1,8,3,4,2,3,4,14,6,8
E1074,31,Senior,No,Non-Travel,1046,16,2,Technical Degree,1,6188,1,Male,23,4,3,Clinical Research Associate II,1,Single,19284,High,11697,3,Y,Yes,21,4,2,8,2,9,3,1,5,13,9,4
E1075,26,Middle-aged,Yes,Non-Travel,192,1,3,Technical Degree,1,2182,1,Male,57,1,5,Clinical Trial Manager,4,Divorced,18867,High,12031,2,Y,No,17,4,2,8,3,16,9,4,23,0,6,7
E1076,18,Middle-aged,No,Travel_Rarely,259,23,1,Other,1,1664,1,Female,48,2,3,Clinical Trial Assistant,4,Single,5522,High,18144,8,Y,No,17,4,3,8,2,14,2,4,5,10,2,0
E1077,27,Senior,Yes,Travel_Frequently,1230,22,4,Technical Degree,1,7737,1,Female,62,4,4,Clinical Research Associate I,1,Divorced,16882,Medium,1133,3,Y,No,23,2,4,8,3,5,8,2,5,12,1,1
E1078,22,Young,No,Travel_Frequently,647,28,1,Medical,1,7497,4,Male,93,3,5,Clinical Trial Manager,1,Divorced,16718,Low,14402,6,Y,Yes,20,4,3,8,2,25,5,2,21,14,9,11
E1079,24,Senior,Yes,Travel_Rarely,639,15,3,Other,1,5608,1,Male,87,4,3,Clinical Research Associate I,2,Single,15719,High,9400,6,Y,No,11,1,4,8,1,9,3,3,8,6,2,9
E1080,41,Senior,Yes,Travel_Rarely,1137,7,4,Life Sciences,1,2882,1,Female,75,3,1,Clinical Project Manager,1,Married,14100,Medium,15361,7,Y,No,15,1,2,8,2,2,1,4,1,5,6,12
E1081,43,Young,Yes,Travel_Frequently,906,22,3,Other,1,3698,1,Male,50,1,5,Clinical Research Associate II,1,Divorced,5686,Medium,15314,0,Y,No,13,2,4,8,1,6,2,1,24,4,6,1
E1082,38,Senior,No,Non-Travel,804,23,1,Medical,1,8858,4,Female,38,2,5,Senior CRA,1,Married,16638,Medium,8136,4,Y,No,12,1,3,8,0,0,6,1,6,12,7,13
E1083,39,Senior,Yes,Travel_Frequently,1022,15,3,Medical,1,1594,3,Female,30,4,3,Clinical Research Associate I,3,Divorced,15513,Medium,19405,0,Y,Yes,19,4,3,8,1,13,0,4,22,2,3,4
E1084,42,Young,Yes,Travel_Rarely,289,9,2,Technical Degree,1,1075,2,Male,23,3,3,Clinical Trial Assistant,1,Single,2643,Medium,15997,3,Y,Yes,17,1,2,8,3,3,9,4,10,7,8,1
E1085,54,Middle-aged,Yes,Non-Travel,1195,3,2,Technical Degree,1,2080,4,Female,72,4,2,Senior CRA,4,Married,12443,Low,17992,3,Y,Yes,11,2,2,8,3,15,6,3,0,7,3,0
E1086,46,Middle-aged,Yes,Travel_Rarely,474,7,2,Medical,1,9144,2,Female,91,3,4,Clinical Trial Manager,4,Married,17451,Medium,9132,3,Y,Yes,20,4,2,8,0,0,4,4,13,10,4,4
E1087,41,Senior,Yes,Travel_Frequently,255,2,3,Other,1,1414,3,Female,70,2,3,Clinical Research Associate II,4,Married,10499,Low,17089,1,Y,No,18,3,1,8,2,32,1,1,20,1,2,6
E1088,54,Middle-aged,Yes,Travel_Frequently,663,14,3,Technical Degree,1,8013,4,Male,26,4,5,Clinical Trial Assistant,4,Married,14903,High,10020,4,Y,Yes,22,3,4,8,0,32,8,1,21,6,0,5
E1089,45,Senior,No,Non-Travel,750,6,4,Life Sciences,1,7868,3,Male,68,3,1,Clinical Project Manager,3,Married,13020,Medium,4991,2,Y,No,15,1,2,8,0,10,9,1,17,3,8,8
E1090,36,Middle-aged,Yes,Travel_Frequently,466,2,4,Life Sciences,1,9470,2,Male,25,2,2,Clinical Research Associate II,2,Divorced,6494,High,18179,0,Y,Yes,22,2,3,8,1,23,5,3,17,6,9,11
E1091,43,Young,No,Non-Travel,240,13,4,Medical,1,7173,3,Male,85,3,4,Senior CRA,1,Single,10036,Low,16476,5,Y,No,22,4,1,8,1,15,2,3,27,6,8,11
E1092,40,Middle-aged,Yes,Travel_Frequently,399,4,3,Technical Degree,1,3505,4,Female,20,2,2,Clinical Project Manager,3,Single,17837,High,12128,1,Y,Yes,16,2,1,8,0,20,9,4,19,3,1,9
E1093,41,Middle-aged,Yes,Travel_Rarely,1021,16,3,Medical,1,6660,2,Female,46,3,2,Clinical Research Associate II,4,Married,10000,Medium,17492,8,Y,Yes,24,4,1,8,3,12,5,3,29,6,2,10
E1094,58,Senior,Yes,Travel_Rarely,199,24,3,Other,1,9333,3,Male,79,1,1,Clinical Trial Manager,4,Divorced,17513,Low,16228,2,Y,No,21,2,4,8,3,4,7,4,4,6,2,1
E1095,42,Young,No,Travel_Frequently,1054,20,1,Life Sciences,1,7058,2,Female,68,1,3,Clinical Research Associate II,2,Single,13707,High,10969,5,Y,No,12,4,4,8,0,0,7,1,6,4,2,7
E1096,51,Middle-aged,No,Non-Travel,798,29,2,Other,1,1359,1,Female,25,1,4,Clinical Research Associate II,3,Divorced,12574,High,7822,8,Y,No,12,4,3,8,2,32,4,4,2,6,6,14
E1097,26,Young,No,Travel_Frequently,1366,2,3,Medical,1,4762,3,Male,48,3,3,Clinical Research Associate II,1,Divorced,18683,Low,16677,6,Y,Yes,24,4,1,8,0,26,8,2,5,6,1,9
E1098,27,Senior,Yes,Travel_Frequently,587,27,4,Other,1,3504,2,Female,26,2,5,Clinical Trial Manager,1,Single,17107,Low,13759,4,Y,Yes,23,4,3,8,3,15,1,4,12,0,6,13
E1099,23,Young,Yes,Travel_Rarely,990,11,1,Other,1,3758,2,Male,24,2,3,Clinical Research Associate I,4,Single,11875,Medium,9554,6,Y,No,14,2,1,8,2,8,7,2,7,1,8,11
E1100,46,Senior,Yes,Travel_Rarely,1409,21,1,Life Sciences,1,3972,4,Male,21,1,5,Clinical Research Associate II,2,Married,14457,Medium,10162,8,Y,Yes,19,2,4,8,0,28,5,4,12,14,4,7
E1101,39,Senior,Yes,Travel_Frequently,702,22,2,Other,1,4264,3,Male,37,3,1,Clinical Trial Assistant,2,Single,11302,High,6704,5,Y,No,23,4,1,8,3,34,3,3,24,6,8,8
E1102,42,Young,No,Travel_Rarely,112,2,2,Other,1,5811,4,Male,37,2,2,Clinical Research Associate II,3,Married,7316,High,15671,8,Y,No,11,3,1,8,3,34,6,3,21,6,8,9
E1103,40,Senior,Yes,Travel_Frequently,1030,1,4,Life Sciences,1,1146,3,Female,41,4,5,Clinical Research Associate I,4,Single,14860,Low,16114,6,Y,Yes,20,2,1,8,0,5,3,4,28,9,8,13
E1104,42,Middle-aged,Yes,Travel_Rarely,371,16,4,Medical,1,9005,1,Female,36,2,2,Clinical Trial Assistant,3,Married,2459,Medium,10903,4,Y,No,21,2,1,8,0,39,2,2,20,0,9,7
E1105,22,Young,Yes,Non-Travel,1200,27,2,Life Sciences,1,4075,2,Male,87,4,1,Clinical Research Associate II,1,Divorced,19411,Low,13890,7,Y,Yes,20,1,3,8,2,9,6,1,24,8,7,2
E1106,52,Senior,No,Non-Travel,1444,16,4,Life Sciences,1,8422,1,Female,69,3,4,Clinical Research Associate I,4,Divorced,7822,Low,1063,6,Y,Yes,11,2,1,8,0,34,4,3,7,0,3,11
E1107,46,Senior,Yes,Non-Travel,222,10,4,Technical Degree,1,6133,2,Female,63,4,3,Clinical Research Associate II,3,Divorced,8859,High,3678,6,Y,Yes,20,4,4,8,1,7,6,4,10,9,3,8
E1108,53,Middle-aged,Yes,Non-Travel,1281,10,2,Medical,1,6990,4,Male,85,4,3,Clinical Trial Assistant,4,Divorced,4890,Medium,12097,0,Y,Yes,10,1,4,8,0,26,8,2,20,14,6,9
E1109,35,Middle-aged,No,Travel_Frequently,707,24,1,Technical Degree,1,7538,3,Male,37,1,5,Senior CRA,4,Single,13203,High,1434,9,Y,Yes,12,2,3,8,2,16,4,1,17,0,3,10
E1110,44,Senior,Yes,Travel_Frequently,515,8,3,Medical,1,1752,4,Male,25,4,4,Clinical Project Manager,3,Single,10713,Low,15547,3,Y,Yes,20,1,1,8,3,29,1,4,28,11,4,4
E1111,49,Young,No,Travel_Rarely,663,28,3,Technical Degree,1,3442,3,Female,46,1,5,Clinical Trial Manager,2,Married,5121,High,17977,7,Y,No,16,3,4,8,0,20,3,2,5,5,4,9
E1112,51,Young,Yes,Travel_Frequently,989,15,1,Other,1,5682,3,Female,49,4,5,Clinical Project Manager,4,Single,5682,High,13413,7,Y,Yes,24,3,2,8,3,8,2,3,11,12,2,7
E1113,45,Young,Yes,Travel_Frequently,418,19,2,Life Sciences,1,3527,3,Male,66,3,5,Clinical Trial Assistant,4,Single,4155,Low,6455,9,Y,Yes,20,2,2,8,1,16,7,1,0,7,8,2
E1114,48,Young,Yes,Travel_Frequently,962,14,1,Life Sciences,1,5121,4,Male,78,4,1,Senior CRA,2,Single,6941,Medium,2765,4,Y,No,11,4,3,8,0,37,4,2,8,7,8,4
E1115,38,Young,Yes,Non-Travel,206,17,2,Medical,1,8630,2,Female,55,2,3,Clinical Project Manager,2,Single,11281,Medium,19294,1,Y,Yes,19,2,2,8,0,31,2,4,4,7,3,10
E1116,23,Young,Yes,Travel_Frequently,599,14,1,Life Sciences,1,9516,2,Male,32,4,4,Clinical Research Associate I,2,Single,15833,Low,2001,9,Y,No,15,3,4,8,1,32,5,3,14,5,6,3
E1117,34,Senior,Yes,Travel_Rarely,1342,11,4,Life Sciences,1,7829,2,Female,43,4,3,Clinical Research Associate I,4,Divorced,6243,Low,11121,5,Y,No,10,4,3,8,1,27,1,4,17,7,7,7
E1118,53,Young,No,Travel_Rarely,218,15,4,Medical,1,4219,1,Female,27,1,5,Clinical Trial Manager,3,Divorced,2354,High,3085,4,Y,Yes,15,1,4,8,2,23,4,3,19,12,1,8
E1119,38,Middle-aged,Yes,Travel_Rarely,473,2,4,Other,1,1537,4,Female,64,1,2,Clinical Project Manager,3,Divorced,12029,Medium,19518,2,Y,Yes,16,1,3,8,1,16,7,3,11,12,4,5
E1120,44,Young,No,Non-Travel,488,22,3,Medical,1,5041,4,Female,63,3,4,Clinical Trial Assistant,3,Single,15316,Low,16163,5,Y,Yes,24,2,1,8,1,18,3,1,21,3,0,1
E1121,41,Senior,No,Travel_Rarely,910,17,2,Technical Degree,1,6451,4,Female,71,3,1,Clinical Trial Manager,1,Married,3254,Low,9358,7,Y,Yes,22,3,1,8,2,38,9,4,10,7,4,0
E1122,51,Senior,Yes,Travel_Frequently,1056,21,2,Other,1,3651,1,Male,23,1,5,Clinical Research Associate II,2,Divorced,10889,High,17916,2,Y,Yes,10,3,3,8,0,8,5,1,26,2,4,11
E1123,52,Middle-aged,Yes,Travel_Frequently,209,14,3,Medical,1,1530,3,Male,20,3,4,Clinical Project Manager,3,Married,17712,Medium,17924,9,Y,Yes,22,3,2,8,1,8,1,2,16,5,4,11
E1124,41,Middle-aged,No,Travel_Frequently,398,8,3,Medical,1,3035,4,Male,80,2,2,Clinical Research Associate I,2,Divorced,3078,Low,1516,2,Y,Yes,23,2,1,8,2,4,4,4,16,1,6,0
